"","X","id","source","pmid","pmcid","doi","title","authorString","journalTitle","issue","journalVolume","pubYear","journalIssn","pageInfo","pubType","isOpenAccess","inEPMC","inPMC","hasPDF","hasBook","hasSuppl","citedByCount","hasReferences","hasTextMinedTerms","hasDbCrossReferences","hasLabsLinks","hasTMAccessionNumbers","firstIndexDate","firstPublicationDate"
"137",137,34196047,"MED",34196047,"PMC8444665","10.1111/clr.13784","Summary of European guidelines on infection control and prevention during COVID-19 pandemic.","Becker K, Gurzawska-Comis K, Brunello G, Klinge B.","Clin Oral Implants Res",NA,"32 Suppl 21",2021,"0905-7161; 1600-0501; ","353-381","research-article; review; journal article","Y","Y","N","Y","N","N",2,"N","Y","N","Y","N","2021-07-02","2021-10-01"
"250",250,34172908,"MED",34172908,"PMC8226341","10.1038/s41432-021-0183-1","Dental professionals' role in the fight against COVID-19: current evidence.","Crowder L.","Evid Based Dent","2","22",2021,"1462-0049; 1476-5446; ","62-63","comment; research-article; journal article","Y","Y","N","Y","N","N",0,"N","Y","N","Y","N","2021-06-27","2021-01-01"
"614",614,34172921,"MED",34172921,"PMC8231751","10.1038/s41415-021-3015-y","Role of teledentistry in paediatric dentistry.","Wallace CK, Schofield CE, Burbridge LAL, O'Donnell KL.","Br Dent J",NA,NA,2021,"0007-0610; 1476-5373; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",3,"Y","Y","N","Y","N","2021-06-27","2021-06-25"
"567",567,34375455,"MED",34375455,"PMC8426815","10.1002/jdd.12773","Initial dental patient assessment appointment: Advancing educational goals during COVID-19.","Harrington C, Lang L, Robinson FG, Mallery SR.","J Dent Educ",NA,NA,2021,"0022-0337; 1930-7837; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-08-11","2021-08-10"
"291",291,33037804,"MED",33037804,"PMC7806342","10.4317/medoral.24075","Management of odonto-stomatological emergencies during the COVID-19 alarm state in dental clinics in the Autonomous Community of Madrid (CAM), Spain: An observational study.","Ramírez JM, Varela-Montes L, Gómez-Costa D, Giovannini G, Romero-Maroto M, Gómez de Diego R.","Med Oral Patol Oral Cir Bucal","1","26",2021,"1698-4447; 1698-6946; ","e114-e117","research-article; journal article; observational study","Y","Y","N","Y","N","N",1,"Y","Y","N","N","N","2020-10-16","2021-01-01"
"314",314,32428372,"MED",32428372,"PMC7280672","10.1111/odi.13431","Overview of transnational recommendations for COVID-19 transmission control in dental care settings.","Jamal M, Shah M, Almarzooqi SH, Aber H, Khawaja S, El Abed R, Alkhatib Z, Samaranayake LP.","Oral Dis",NA,"27 Suppl 3",2021,"1354-523x; 1601-0825; ","655-664","other; review; journal article","Y","Y","N","Y","N","N",33,"Y","Y","N","Y","N","2020-05-22","2020-06-03"
"538",538,32978579,"MED",32978579,"PMC7517749","10.1038/s41415-020-2114-5","Management of odontogenic infections and sepsis: an update.","Jevon P, Abdelrahman A, Pigadas N.","Br Dent J","6","229",2020,"0007-0610; 1476-5373; ","363-370","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2020-09-27","2020-09-25"
"233",233,32959709,"MED",32959709,"PMC7509243","10.1177/2380084420962399","Impact of COVID-19 on Life Experiences of Essential Workers Attending a Dental Testing Facility.","Fontana M, McCauley L, Fitzgerald M, Eckert GJ, Yanca E, Eber R.","JDR Clin Trans Res","1","6",2021,"2380-0844; 2380-0852; ","24-39","research-article; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2020-09-23","2020-09-22"
"48",48,34479668,"MED",34479668,"PMC8080510","10.1016/j.jebdp.2021.101584","In vivo evaluation of the virucidal efficacy of chlorhexidine and povidone-iodine mouthwashes against salivary SARS-CoV-2. A randomized-controlled clinical trial.","Elzein R, Abdel-Sater F, Fakhreddine S, Hanna PA, Feghali R, Hamad H, Ayoub F.","J Evid Based Dent Pract","3","21",2021,"1532-3382; 1532-3390; ","101584","research-article; randomized controlled trial; journal article","Y","Y","N","Y","N","N",4,"Y","Y","N","Y","N","2021-09-05","2021-04-28"
"255",255,34506921,"MED",34506921,"PMC8423778","10.1016/j.job.2021.08.004","In silico exploration of enzymes involved in sialic acid biosynthesis and their possible role in SARS-CoV-2 infection.","Divya VC, Saravanakarthikeyan B.","J Oral Biosci","4","63",2021,"1349-0079; 1880-3865; ","416-419","brief-report; research support, non-u.s. gov't; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","Y","2021-09-12","2021-09-08"
"118",118,33730371,"MED",33730371,"PMC8250718","10.1111/ipd.12784","Effect of the COVID-19 pandemic on behavioural and psychosocial factors related to oral health in adolescents: A cohort study.","Brondani B, Knorst JK, Tomazoni F, Cósta MD, Vargas AW, Noronha TG, Mendes FM, Ardenghi TM.","Int J Paediatr Dent","4","31",2021,"0960-7439; 1365-263x; ","539-546","research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-03-18","2021-05-06"
"37",37,33138663,"MED",33138663,"PMC7642823","10.1177/0022034520970536","SARS-CoV-2 Detection in Gingival Crevicular Fluid.","Gupta S, Mohindra R, Chauhan PK, Singla V, Goyal K, Sahni V, Gaur R, Verma DK, Ghosh A, Soni RK, Suri V, Bhalla A, Singh MP.","J Dent Res","2","100",2021,"0022-0345; 1544-0591; ","187-193","research-article; journal article","Y","Y","N","Y","N","Y",21,"Y","Y","N","Y","N","2020-11-04","2020-11-02"
"222",222,34785063,"MED",34785063,"PMC8483898","10.1016/j.identj.2021.09.004","A Retrospective Study of Oral Emergency Services During COVID-19.","Guo HQ, Xu T, Pan J, Ji AP, Huang MW, Bai J.","Int Dent J",NA,NA,2021,"0020-6539; 1875-595x; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-11-29","2021-09-28"
"328",328,33076880,"MED",33076880,"PMC7569355","10.1186/s12903-020-01274-5","Oral hygiene habits and possible transmission of COVID-19 among cohabitants.","González-Olmo MJ, Delgado-Ramos B, Ruiz-Guillén A, Romero-Maroto M, Carrillo-Díaz M.","BMC Oral Health","1","20",2020,"1472-6831","286","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","Y",1,"Y","Y","N","Y","N","2020-10-21","2020-10-19"
"91",91,33161001,"MED",33161001,"PMC7644232","10.1016/j.joen.2020.10.024","Dental Anxiety, Fear, and Root Canal Treatment Monitoring of Heart Rate and Oxygen Saturation in Patients Treated during the Coronavirus Disease 2019 Pandemic: An Observational Clinical Study.","Olivieri JG, de España C, Encinas M, Ruiz XF, Miró Q, Ortega-Martinez J, Durán-Sindreu F.","J Endod","2","47",2021,"0099-2399; 1878-3554; ","189-195","research-article; journal article; observational study","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2020-11-10","2020-11-05"
"194",194,33021087,"MED",33021087,"PMC7675550","10.1002/cre2.332","How to deal with coronavirus disease 2019: A comprehensive narrative review about oral involvement of the disease.","Capocasale G, Nocini R, Faccioni P, Donadello D, Bertossi D, Albanese M, Zotti F.","Clin Exp Dent Res","1","7",2021,"2057-4347","101-108","review-article; review; journal article","Y","Y","N","Y","N","N",11,"Y","Y","N","N","N","2020-10-16","2020-10-05"
"147",147,34271846,"MED",34271846,"PMC8461046","10.1177/00220345211029638","Additive Effect of Periodontal Disease and Obesity on COVID-19 Outcomes.","Larvin H, Wilmott S, Kang J, Aggarwal VR, Pavitt S, Wu J.","J Dent Res","11","100",2021,"0022-0345; 1544-0591; ","1228-1235","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","Y",1,"Y","Y","N","Y","N","2021-07-18","2021-07-16"
"261",261,32333518,"MED",32333518,"PMC7267504","10.1111/odi.13368","Two cases of COVID-19 with positive salivary and negative pharyngeal or respiratory swabs at hospital discharge: A rising concern.","Azzi L, Carcano G, Dalla Gasperina D, Sessa F, Maurino V, Baj A.","Oral Dis",NA,"27 Suppl 3",2021,"1354-523x; 1601-0825; ","707-709","brief-report; journal article","Y","Y","N","Y","N","N",20,"Y","Y","N","Y","N","2020-04-26","2020-05-11"
"334",334,33879353,"MED",33879353,"PMC7874946","10.1016/j.identj.2021.01.015","COVID-19 Management in Clinical Dental Care. Part I: Epidemiology, Public Health Implications, and Risk Assessment.","Melo P, Barbosa JM, Jardim L, Carrilho E, Portugal J.","Int Dent J","3","71",2021,"0020-6539; 1875-595x; ","251-262","review-article; review; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2021-04-22","2021-02-10"
"296",296,33711195,"MED",33711195,"PMC8251174","10.1111/edt.12667","Demographics and management of paediatric dental-facial trauma in the 'lockdown' period: A UK perspective.","Ilyas N, Green A, Karia R, Sood S, Fan K.","Dent Traumatol","4","37",2021,"1600-4469; 1600-9657; ","576-582","research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-03-13","2021-03-12"
"579",579,34580910,"MED",34580910,"PMC8652979","10.1111/ger.12591","Impact of the COVID-19 pandemic on the University of British Columbia Geriatric Dentistry Program: Clinical education and service.","Tong N, To S, Wyatt CCL.","Gerodontology",NA,NA,2021,"0734-0664; 1741-2358; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2021-09-29","2021-09-27"
"448",448,34172903,"MED",34172903,"PMC8226331","10.1038/s41432-021-0170-6","Should photographic triage become common practice?","Thomas N.","Evid Based Dent","2","22",2021,"1462-0049; 1476-5446; ","52-53","comment; research-article; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2021-06-27","2021-01-01"
"625",625,32978581,"MED",32978581,"PMC7517741","10.1038/s41415-020-2180-8","Impact of COVID-19 on cervicofacial infection.","Wadia R.","Br Dent J","6","229",2020,"0007-0610; 1476-5373; ","375","brief-report; journal article","Y","Y","N","Y","N","N",0,"N","Y","N","Y","N","2020-09-27","2020-09-01"
"170",170,32428459,"MED",32428459,"PMC7215154","10.1016/j.joms.2020.05.007","Uncertainty and the Risk of Occupational Exposure to Severe Acute Respiratory Syndrome-Coronavirus-2.","Dodson TB.","J Oral Maxillofac Surg","8","78",2020,"0278-2391; 1531-5053; ","1229-1231","brief-report; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2020-05-22","2020-05-12"
"612",612,33043573,"MED",33043573,"PMC7675282","10.1111/odi.13675","Angular cheilitis of COVID-19 patients: A case-series and literature review.","Riad A, Kassem I, Issa J, Badrah M, Klugar M.","Oral Dis",NA,NA,2020,"1354-523x; 1601-0825; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",12,"N","Y","N","Y","N","2020-10-16","2020-10-11"
"336",336,32815633,"MED",32815633,"PMC7461301","10.1111/scd.12510","Dental services during the COVID-19 pandemic: A tertiary care hospital experience.","Umer F, Motiwala M.","Spec Care Dentist","5","40",2020,"0275-1879; 1754-4505; ","431-436","review-article; review; journal article","Y","Y","N","Y","N","N",2,"Y","Y","N","Y","N","2020-08-21","2020-08-20"
"422",422,32950037,"MED",32950037,"PMC7537059","10.1111/scd.12523","Dental care management during the COVID-19 outbreak.","Falahchai M, Babaee Hemmati Y, Hasanzade M.","Spec Care Dentist","6","40",2020,"0275-1879; 1754-4505; ","539-548","review-article; review; journal article","Y","Y","N","Y","N","N",5,"Y","Y","N","Y","N","2020-09-23","2020-09-19"
"427",427,32777246,"MED",32777246,"PMC7364142","10.1016/j.joms.2020.07.015","Relieving Emergency Department Burden During COVID-19: Section 1135 Waivers for Dental Case Diversion.","Patel NA, Yun JK, Afshar S.","J Oral Maxillofac Surg","12","78",2020,"0278-2391; 1531-5053; ","2110-2111","brief-report; journal article","Y","Y","N","Y","N","N",0,"Y","Y","N","Y","N","2020-08-12","2020-07-16"
"494",494,32833832,"MED",32833832,"PMC7480802","10.1097/scs.0000000000006886","Neuroplastic Surgery Aboard USNS Comfort During the COVID-19 Pandemic in New York City.","Santiago GF, Anderson DC, Zuckerman SL.","J Craniofac Surg","6","31",2020,"1049-2275; 1536-3732; ","e636-e639","research-article; journal article","Y","Y","N","Y","N","N",0,"N","Y","N","Y","N","2020-08-26","2020-09-01"
"316",316,33359041,"MED",33359041,"PMC7787509","10.1016/j.jdent.2020.103565","Evaluating contaminated dental aerosol and splatter in an open plan clinic environment: Implications for the COVID-19 pandemic.","Holliday R, Allison JR, Currie CC, Edwards DC, Bowes C, Pickering K, Reay S, Durham J, Lumb J, Rostami N, Coulter J, Nile C, Jakubovics N.","J Dent",NA,"105",2021,"0300-5712; 1879-176x; ","103565","research support, non-u.s. gov't; research-article; journal article","Y","Y","N","Y","N","Y",17,"Y","Y","N","Y","N","2020-12-29","2021-01-06"
"364",364,32813876,"MED",32813876,"PMC7461196","10.1002/jdd.12364","The impacts of the COVID-19 pandemic on the teaching of dentistry in Brazil.","Spanemberg JC, Simões CC, Cardoso JA.","J Dent Educ","11","84",2020,"0022-0337; 1930-7837; ","1185-1187","brief-report; journal article","Y","Y","N","Y","N","N",10,"Y","Y","N","Y","N","2020-08-20","2020-08-19"
"593",593,32772370,"MED",32772370,"PMC7436295","10.1002/jdd.12361","Prioritizing patient care during the COVID-19 pandemic: A data-driven approach.","Glick A, Kookal KK, Walji MF, Saeed SG.","J Dent Educ",NA,NA,2020,"0022-0337; 1930-7837; ",NA,"research-article; journal article","Y","Y","N","Y","N","N",1,"Y","Y","N","Y","N","2020-08-10","2020-08-04"
"100",100,33267811,"MED",33267811,"PMC7708888","10.1186/s12903-020-01340-y","A Pan-Canadian narrative review on the protocols for reopening dental services during the COVID-19 pandemic.","Brondani M, Cua D, Maragha T, Shayanfar M, Mathu-Muju K, von Bergmann H, Almeida F, Villanueva J, Alvarado AAV, Learey S, Donnelly L.","BMC Oral Health","1","20",2020,"1472-6831","352","research support, non-u.s. gov't; review-article; review; journal article","Y","Y","N","Y","N","N",5,"N","Y","N","Y","N","2020-12-04","2020-12-02"
"201",201,32650753,"MED",32650753,"PMC7349471","10.1186/s12903-020-01187-3","Coronavirus (COVID-19) in Italy: knowledge, management of patients and clinical experience of Italian dentists during the spread of contagion.","Putrino A, Raso M, Magazzino C, Galluccio G.","BMC Oral Health","1","20",2020,"1472-6831","200","research-article; journal article","Y","Y","N","Y","N","Y",15,"Y","Y","N","Y","N","2020-07-15","2020-07-10"
